@relation quake
@attribute Focal_depth integer [0,656]
@attribute Latitude real [-66.49,78.15]
@attribute Longitude real [-179.96,180]
@attribute Richter real [5.8,6.9]
@inputs Focal_depth, Latitude, Longitude
@outputs Richter
@data
5,-11.62,-74.45,5.9
587,-9.04,-71.32,5.9
45,-13.4,166.44,6.1
61,-30.51,-71.08,5.9
238,44.89,143.21,6.3
41,-8.17,114.84,5.9
52,52.92,159.81,5.9
2,60.25,-146.71,5.8
33,47.41,152.26,6.1
55,-18.61,-174.7,6
0,40.86,15.33,6
30,58.29,-152.5,6.1
20,-30.01,-177.63,5.9
0,49.77,78.1,6.1
136,-6.2,130.33,5.8
189,-5.54,129.79,6.5
104,-6.76,107.04,6
25,35.31,23.29,5.8
28,51.24,-179.25,5.9
45,36.44,141.37,5.8
62,-15.12,167.16,6.2
643,52.36,151.64,6.5
39,8.48,126.62,5.8
208,-30.44,-179.3,6
19,-40.45,155.57,5.8
33,-16.29,178.2,5.9
14,40.35,63.45,6.2
16,-34.61,-178.57,6.4
94,-11.54,-74.52,5.8
554,27.9,137.04,6.2
122,-0.16,-78.6,5.8
66,-13.1,-76.37,5.9
3,-14.6,167.41,5.9
42,17.81,-101.69,6.2
40,-51.6,139.76,5.9
33,-53.82,158.84,6.2
51,51.39,-179.94,6.3
33,2.09,126.55,5.9
39,41.79,143.5,5.8
68,26.02,95.37,6.4
117,-6.11,145.54,5.8
77,-21.22,169.72,6.2
380,48.27,148.66,5.8
45,19.36,122.06,5.8
159,44.21,145.45,6.1
33,-52.77,160.17,6
41,28.11,129.52,6
93,-56.44,-27.43,5.9
0,-5.07,102.33,5.9
92,4.76,126.52,6
37,-15.25,-173.53,5.8
568,49.05,146.63,5.8
26,12.46,114.45,5.8
7,53.74,-164.7,5.9
35,-17.66,167.96,6.1
37,28.3,55.61,6
118,44.55,146.67,6.3
18,-56.8,-68.42,5.9
37,-8.21,114.87,6.1
33,-33.49,-177.31,6
17,7.22,122.99,6.2
23,-2.64,126.04,5.8
0,73.33,54.93,6.6
69,35.53,140.15,5.9
39,-19.07,168.54,6
139,-14.75,167.28,5.8
205,36.42,70.73,6.4
7,-2.39,126.15,6.1
48,-9.15,-78.83,6.4
231,36.48,70.15,5.9
125,-17.61,-174.45,6.3
30,-17.59,-172.31,6
243,-18.79,169.29,6.2
18,51.52,-175.27,5.8
25,-0.27,133.47,6.1
20,40.11,70.86,6
27,-0.78,122.22,6
10,-7.6,126.26,5.8
10,43.01,146.66,5.8
117,13.82,144.79,6
42,-28.21,-114.06,5.9
46,16.82,-98.46,5.8
64,-8.69,111.17,5.9
10,44.1,-113.81,6.1
107,-31.37,-68.61,5.8
58,7.21,123.53,5.8
51,-30.67,-178.03,5.9
71,-13.4,166.7,6
209,36.42,70.75,6.2
37,-22.25,169.55,5.8
45,41.37,143.44,6.5
45,-11.05,116.97,6.1
75,18.25,-96.58,6.6
56,35.67,140.64,5.9
18,38.23,22.97,6.1
0,-21.86,-138.92,5.9
36,-17.62,-171.16,5.9
15,-3.36,177.4,5.8
27,53.25,-166.78,5.8
10,16.54,40.32,5.9
126,28.95,140.94,6.2
124,-15.18,167.43,6.2
52,-13.98,166.51,6.2
82,5.71,94.72,6.5
0,49.86,78.81,5.9
27,42.03,143.89,5.8
12,60.36,-146.61,6
0,49.9,78.86,6.2
48,-1.46,99.8,5.8
170,-6.11,129.91,5.8
75,-5.16,130.45,5.8
68,36.01,139.33,5.8
25,42.48,143.04,6.3
0,49.79,78.14,6
12,-25.19,-175.55,5.9
36,51.29,178.55,6.1
185,-18.95,168.89,5.8
167,18.12,145.83,5.9
17,-6.24,148.74,5.8
22,6.51,-84.44,5.8
67,-0.36,124.73,6
19,-4.83,102.04,5.8
33,-15.3,-173.47,6.1
44,51.27,-179.38,5.8
73,-19.42,-69.33,6
40,23.86,122.97,6.2
86,-5.13,151.79,6
190,36.52,71.05,6.2
33,57.2,-153,5.8
87,-16.13,-173.95,5.9
27,-34.74,81.88,5.9
24,-38.84,46.43,5.9
16,5.64,-82.6,5.8
405,-18.39,-177.88,5.8
0,49.93,78.77,6
46,-4.2,123.37,5.8
137,-15.04,167.28,6
75,-0.52,122.21,5.8
52,16.45,122.31,6.1
65,43.51,147.65,6
647,-20.61,-179.14,5.8
425,-6.76,126.74,6
0,49.82,78.18,5.8
33,-40.12,-74.68,5.8
47,41.47,142.88,5.8
33,8.14,137.21,6.1
0,73.31,54.89,6.6
200,-22.69,-66.62,5.8
13,19.93,121.34,6
85,42.92,145.33,5.9
36,16.61,122.19,5.9
549,38.78,130.09,6.1
26,0.66,126,6.2
58,2.27,121.06,5.8
0,49.93,78.89,6
0,60.33,-140.94,5.8
11,19.46,-155.14,5.9
397,-31.88,179.94,6
126,-0.13,123.95,5.8
16,-30.48,-177.42,6
50,-13.64,165.96,6
33,-5.42,133.99,6.5
2,-7.33,146.83,5.8
36,-53.59,-28.26,5.8
103,-56.11,-27.83,6
23,56.42,-152.01,6.1
59,-0.1,125.01,6
567,41.93,130.99,6.3
607,18,145.67,6.1
54,-9.93,-78.46,6
48,12.47,126.01,6.5
93,-9.84,123.96,5.8
33,-60.3,-27,5.8
10,-31.38,-110.79,5.9
0,49.96,79.07,6
91,-10.31,161.42,6.2
0,49.91,78.91,6
58,-6.63,154.66,6.3
38,54.52,162.02,5.9
606,-6.01,112.33,5.9
29,-20.41,-174.17,5.8
33,-18.11,-172.51,6.3
46,-1.59,99.95,5.8
20,32.84,142.43,5.8
11,51.86,176.09,5.9
0,47.81,48.09,5.8
33,-39.85,87.74,5.8
43,51.31,-179.23,6
37,-21.5,169.61,6
39,-11.14,162.16,6.2
22,-1.05,146.48,5.9
49,43.23,149.94,6.1
80,-6.05,148.55,5.8
12,-33.82,-179.44,5.8
45,51.46,-177.71,5.9
28,-42.9,-75.13,6
65,-10.13,121.7,5.9
21,42.09,84.58,5.8
89,-4,-79.4,5.8
144,49.45,154.4,5.9
60,40.78,142.15,5.8
196,-4.37,151.81,5.9
17,30.29,132.72,5.8
18,51.11,-171.3,6.3
305,-14.95,-175.81,5.9
449,-7.33,126.08,6.3
53,-6.1,154.44,5.9
56,3.73,126.64,5.8
57,-59.8,-26.33,5.8
138,44.38,146.71,5.8
165,-6.77,129.62,5.9
596,-17.97,-178.49,5.9
69,-22.91,-175.74,6.3
0,49.97,79.01,5.8
110,42.48,142.15,6.4
59,-6.26,154.62,5.8
29,-3.74,131.39,5.9
22,3.52,95.91,5.8
20,43.52,146.72,6.3
116,-4.75,151.84,5.9
33,-4.3,-102.07,5.9
43,-5.74,152.13,5.9
210,36.42,70.76,6.3
38,13.85,124.32,6.1
11,2.18,126.65,5.9
33,-10.87,164.22,6
36,45.56,151.62,5.8
179,29.4,140.43,6.4
62,44.11,148.62,6.4
45,36.44,141.17,6
0,43.79,54.75,5.8
34,7.46,123.47,5.8
15,40.35,63.36,6.4
391,33.17,136.98,5.9
12,-7.28,155.63,6.2
38,29.28,130.44,5.8
31,-15.75,167.12,6.2
76,-25.4,-69.06,6
46,-7.35,155.82,5.8
598,-9.05,-71.34,6.1
517,-4.88,125.35,6.1
36,-60.9,-55.9,5.8
27,39.5,117.73,6
34,44.64,150.09,6.3
183,-7.47,128.2,6.2
93,-14.79,-72.66,5.8
50,53.89,160.68,6.1
10,-2.38,145.06,5.8
11,-24.91,-175.16,6.4
0,-49.13,164.63,5.8
105,-0.09,123.95,5.8
3,41.42,79.24,5.8
44,-5.66,153.92,5.8
51,49.41,155.58,6.1
29,22.55,122.37,6.2
15,-3.97,-80.66,6.3
33,-4.52,140.24,5.9
20,-31.25,-68,5.8
60,39.25,24.6,6
54,53.57,160.53,6
77,-0.15,-17.97,5.8
121,50.04,155.38,5.8
0,49.92,78.8,6
197,36.48,70.95,6.3
32,38.51,40.77,6
41,10.54,140.96,5.9
26,-19.9,169.66,5.9
63,-10.21,160.74,5.8
55,-3.08,139.45,6
33,-2.51,146.03,6.2
0,-6.72,154.53,5.8
58,-31.81,-71.26,6
94,-4.89,153.57,6.5
111,47.88,153.75,6
9,-7.24,149.58,6.2
81,-5.68,151.47,6
35,40.83,139.33,5.8
0,49.92,78.83,6.2
9,19.9,120.49,5.8
8,51.34,173.75,5.8
68,-4.72,152.56,5.9
81,12.91,93.59,6.1
160,31.07,130.1,6.2
18,-31.54,117,5.9
171,-4.86,151.55,6.1
8,12.58,122.09,5.9
0,49.86,78.94,6.1
33,-32.95,-71.6,5.8
68,14.07,-91.95,5.8
42,51.31,-178.5,5.8
44,-26.28,-175.78,6.1
43,35.48,139.05,5.8
29,20.73,146.29,5.8
18,35.78,137.49,6
40,0.53,98.72,6.2
21,-23.79,-175.14,6.1
64,-58.86,157.6,6
5,40.18,63.79,6
33,-22.89,-175.82,5.9
168,-7.37,128.58,5.9
45,-9.16,-78.88,6.1
25,-15.27,-175.45,5.9
53,30.07,142.15,5.9
22,-3.37,139.91,5.8
43,-15.13,166.91,6.2
33,51.56,175.86,5.8
28,-14.34,167.06,5.9
175,20.45,122.14,6
13,36.74,54.81,6
108,1.8,127.28,5.8
600,-9.52,-71.22,5.8
42,24.24,122.67,6.5
0,73.38,54.87,5.9
48,-9.88,-78.69,5.8
153,7.85,126.38,6
79,-10.08,161.06,6
11,-0.05,125.06,6
504,-23.93,179.88,6
77,-5.16,152.26,6.1
26,43.28,146.43,6.3
10,39.05,44.04,6.1
38,44.77,153.33,6.2
45,3.43,128.01,6.1
33,-6.22,131.15,6
33,-9.94,160.48,6.1
43,8.95,-83.49,6.1
33,-53.52,159.08,5.9
26,-31.37,-67.79,5.8
47,23.41,143.71,5.8
0,49.84,78.92,5.8
112,6.33,126.9,6
52,51.38,-177.85,5.8
12,7.76,-77.57,6.4
522,-23.7,179.99,6
33,-20.45,-174.04,5.9
44,13.83,125.07,5.8
33,-3.41,139.55,5.9
55,6.52,124.07,5.9
0,23.09,120.58,6.2
0,63.92,146.1,5.9
32,-23.61,-174.85,6.4
105,4.81,-76.2,6.3
111,-6.54,146.64,6.3
33,-4.58,140.13,6.3
367,35.43,135.49,6
35,43.14,146.88,5.9
19,12,41.35,5.8
29,-8.93,120.32,6
62,-13.32,166.69,6.1
0,-5.18,96.89,5.9
191,-20.61,-176.32,5.9
12,-42.66,174.02,5.8
33,-59.54,-20.59,6.3
33,-5.61,131.43,5.8
74,-4.67,153.25,5.8
17,28.19,103.98,5.8
43,13.81,146.36,5.8
33,-51.7,139.8,5.8
7,1.16,120.89,5.8
527,27.87,139.51,5.8
178,7.13,126.58,5.9
32,6.98,123.89,5.9
48,-33.79,-179.58,6
49,29.33,130.53,5.9
116,-5.39,150.94,6
25,40.49,139.05,5.9
35,36.13,68.98,6.1
14,38.07,20.25,6.2
22,34.43,25.04,5.8
193,-19.41,169.39,5.9
39,43.46,146.94,5.8
25,-10.62,165.06,6
0,57.99,-138.04,6.1
42,-6.5,154.63,5.8
34,78.15,126.65,6.2
