@relation quake
@attribute Focal_depth integer [0,656]
@attribute Latitude real [-66.49,78.15]
@attribute Longitude real [-179.96,180]
@attribute Richter real [5.8,6.9]
@inputs Focal_depth, Latitude, Longitude
@outputs Richter
@data
31,52.17,175.17,5.9
0,49.85,78.97,5.8
41,-33.07,-68.58,5.8
62,50.51,156.58,6
0,49.85,78.92,6.2
46,-30.81,-71.16,5.8
30,-6.37,151.66,5.9
66,9,126.27,5.8
18,14.67,44.23,5.8
149,6.01,126.01,5.9
33,-13.18,166.32,5.8
19,18.79,121.91,5.8
183,29.79,140.11,6
316,16.57,145.48,5.8
60,10.36,125.87,6
49,-26.52,-70.66,6.3
40,6.93,124.04,5.9
43,-5.52,153.87,6
43,8.69,127.35,6.1
41,8.24,122.36,5.9
70,-8.62,125.07,5.8
144,-21.37,170.31,6
159,-4.35,153.45,6.9
62,-4.7,153.17,5.8
29,-10.59,-79.67,6.2
28,14.48,51.98,5.9
0,49.91,78.91,5.9
629,-21,-178.99,6.1
69,-7.17,106.1,5.8
0,49.91,78.97,6.1
0,50.05,79.06,5.8
62,-4.94,133.99,6.2
39,27.87,54.3,5.9
23,-9.93,119.6,5.8
37,-20.64,172.57,5.8
515,-23.98,-179.8,6
88,-10.34,161.2,5.8
33,-3.43,135.65,6.2
0,49.87,78.92,6.1
119,-11.87,166.55,6.5
61,6.54,126.81,5.9
596,-14.2,172.02,5.8
116,-31.4,-110.99,5.8
45,44.09,148.68,5.8
39,-3.01,139.62,5.9
64,-6.39,154.92,5.9
7,-30.91,-68.21,5.8
214,36.43,71.12,6.1
26,55.75,-155.88,5.9
107,-2.52,119.22,5.8
139,-7.5,127.83,6
32,-5.04,129.99,6
101,-0.61,123.28,5.9
33,-11.14,115.36,6
109,-56.02,-27.98,5.8
15,-14.01,23.82,5.9
62,-6.55,155,5.9
592,-28.14,-63.15,6.2
33,-60.46,-24.91,6.2
494,-4.63,154.89,5.8
63,-5.23,153.59,6.2
6,22.5,122.08,5.9
15,-10.01,150.2,6
0,47.87,48.06,6
43,44.16,148.23,6
0,50.05,78.93,5.8
102,-23.53,-177.27,6.6
29,-12.49,166.37,5.9
33,-10.58,161.75,5.8
441,31.99,137.61,6.5
4,-8.1,125.38,6.2
43,19.05,122.12,6
30,12.5,126.06,6.1
181,-28.25,-178.27,6.1
0,49.88,78.84,6
26,-15.86,167.36,5.9
17,-31.44,-67.44,5.9
21,24.79,125.98,5.8
57,41.85,142.78,5.8
148,18,-64.67,5.8
0,73.34,54.73,5.8
100,-11.17,-75.01,5.9
0,49.94,79.1,5.9
17,58.83,-149.29,6
46,33.67,141.17,6.1
49,-2.73,139.33,5.9
0,-2.11,139.79,5.8
42,-11.21,162.13,5.9
21,11.86,142.38,6.1
51,1.99,126.94,6
16,40.48,139.09,6.6
33,-5.55,-77.2,6.1
73,24.43,122.25,6
19,30.71,141.82,5.8
50,29.96,80.46,5.8
53,48.29,154.36,5.8
48,18.53,-102.93,6.1
21,-14.02,-14.49,5.8
11,11.85,-13.51,6.3
20,4.96,-78.12,6.4
0,70.8,53.42,5.9
640,-21.57,-179.35,5.8
85,-12.74,-76.04,6
260,-0.07,122.52,6.1
9,34.4,-118.43,6.2
78,12.18,140.8,6.1
33,-22.46,-174.61,5.8
0,-51.49,28.98,6.1
41,24.02,122.23,5.8
0,49.72,78.07,6
59,-13.74,166.74,6
26,1.35,126.4,5.8
18,15.57,-99.48,5.9
46,-13.92,166.65,5.9
50,-30.68,-71.2,6.2
0,23.86,-45.57,5.8
44,52.76,-166.9,5.9
26,39.17,41.56,5.8
110,4.92,127.53,6
72,43.26,147.39,5.9
48,-13.61,166.66,6.2
31,11.71,-85.86,5.8
10,-6.85,72.04,6.5
35,-60.44,-26.44,5.8
41,43.44,147.82,6.5
11,28.39,52.78,6
31,-53.37,23.6,5.8
32,-32.63,-178.19,5.9
19,51.67,176.04,5.8
103,-9.87,161.18,5.8
41,-22.11,174.76,5.9
29,-29.51,25.17,5.9
0,-6.34,151.18,5.8
33,-9.97,160.59,5.9
208,-17.76,-175.06,6.1
16,-0.14,131.79,5.9
33,-15.49,167.1,6.3
36,-22.67,171.42,5.9
46,-4.44,152.81,6.4
101,-56.09,-27.55,5.8
154,48.31,153.16,5.8
35,-18.52,168.15,5.8
46,52.68,-166.97,6
63,-6.84,155.41,6.2
49,54.04,160.93,5.9
91,2.97,125.91,5.9
56,14.65,-92.59,5.8
0,49.95,78.98,5.8
98,-14.77,167.12,6.3
18,-4.52,146.2,6
119,1.81,127.45,5.8
12,-3.54,151.29,5.8
0,37.59,-118.8,6.1
102,-4.84,-78.09,6.4
40,48.82,154.93,5.9
38,43.61,147.18,6.5
0,-21.86,-139,5.8
187,-22.73,-66.62,6.1
43,-2.83,118.76,6
192,-23.1,-177.27,5.8
76,43.16,146.17,6.4
10,-51.94,-74.14,5.9
22,-23.4,-174.72,5.8
217,-13.94,167.18,6.1
10,-11.02,163.45,6
5,56.68,120.95,6
465,-7.08,117.95,5.8
0,53.21,-166.92,5.8
40,-32.68,-71.63,5.8
0,47.79,48.11,5.8
10,56.52,-152.61,5.9
26,39.46,73.63,5.8
27,15.93,-46.69,5.8
15,-3.52,143.86,6
64,9.2,126.19,5.8
10,39.96,24.39,5.8
26,-20.24,168.2,5.8
205,36.52,71.1,5.9
26,41.52,142.82,6.4
56,38.98,141.93,6.1
140,5.82,126.98,5.9
57,-9.1,119.09,6
39,17.7,147.65,6.2
72,-6.99,147.39,5.9
56,51.46,-179.95,6.1
44,52.21,158.95,5.8
37,-1.47,126.5,5.9
164,36.48,71.05,5.8
12,50.19,91.24,5.9
23,-28.78,-177.39,6.2
33,27.61,33.91,6.1
10,40.31,63.72,6.2
472,-31.79,-179.51,5.8
55,-7.27,156.14,5.9
19,-9.61,159.77,5.8
0,49.89,78.9,6.1
28,14.06,124.87,6
33,-55.73,-26.04,5.9
37,54.99,-159.24,6
125,1.55,127.32,5.8
60,-7.89,107.55,5.8
4,34.95,23.05,5.8
39,7,91.33,5.8
21,-7.58,154.61,5.8
0,49.93,78.98,6.1
6,16.08,-59.79,5.8
454,29.35,138.92,6.1
0,73.39,54.58,6.1
82,30.63,140.85,6.1
72,-6.07,148.21,5.8
29,-29.48,-177.57,6.4
31,27.47,56.24,5.8
65,16.73,-61.44,5.9
52,7.09,123.59,6
53,-3.17,118.91,5.8
42,52.4,-169.54,6
40,-3.06,139.62,6.2
77,-6.02,154.56,5.9
99,-17.86,-174.57,5.8
122,-14.99,167.3,5.8
30,-15.35,-173.54,5.8
32,14.92,99.05,5.8
11,28.27,130.67,6.3
42,-9.52,119.39,6
19,0.85,-79.63,6
441,26.96,140.48,5.8
151,-6.89,129.21,5.9
30,-38.03,-72.78,6.2
33,-54.74,-38.3,5.9
30,57.86,-137.42,6.2
33,-60.96,-22.96,6.1
37,11.26,139.57,6.3
39,32.15,131.98,6.1
38,10.43,-62.71,5.9
33,-45.1,166.68,5.8
23,-30.18,-177.96,5.9
57,-7.48,156.01,5.8
60,51.82,177.12,6
0,49.92,77.76,5.8
94,55.79,161.33,6.4
96,-6.61,101.7,6.1
518,26.29,140.7,6.1
8,1.09,121,5.8
336,3.86,124.26,6.2
54,-6.64,155.09,6.5
23,44.61,149.38,5.9
43,36.4,141.44,5.8
44,1.81,126.41,6
256,-15.89,-175.04,6.1
17,1.16,126.2,5.8
119,-4.11,142.88,5.9
33,53.61,161.38,5.9
10,-55.42,160.23,5.9
33,-3.65,144.5,5.9
545,5.66,123.59,5.9
43,1.87,126.48,6.1
534,-10.2,159.9,6.1
72,-7.9,158.68,5.9
22,56.6,-152.21,5.8
49,40.3,142.39,5.9
14,-11.12,125.15,5.9
113,37.16,71.64,5.8
33,-4.37,-102.04,6
45,32.18,142.37,5.9
75,37.96,22.38,5.8
77,-33.76,-71.19,5.8
40,53.03,-167.55,6.7
52,7.33,123.54,5.8
0,-21.86,-138.94,6
27,0.66,126.08,6
29,-3.49,177.64,5.8
33,-9.73,160.17,6
599,-6.1,113.36,6
33,-1.71,136.05,6.2
