@relation quake
@attribute Focal_depth integer [0,656]
@attribute Latitude real [-66.49,78.15]
@attribute Longitude real [-179.96,180]
@attribute Richter real [5.8,6.9]
@inputs Focal_depth, Latitude, Longitude
@outputs Richter
@data
12,33.22,-116.19,6
14,46.54,141.15,6
20,-15.08,-173.12,6.5
107,-5.57,153.99,5.8
16,57.39,-153.97,6.1
52,-2.71,-79.88,5.9
10,7.74,-77.54,5.8
20,47.09,153.77,5.9
46,53.48,-161.39,6
48,33.31,132.31,6.2
45,-22.22,170.48,5.9
37,15.3,-45.78,5.8
97,-10.16,161.01,5.9
18,21.77,103.31,6
0,38.75,-27.75,6
0,70.8,53.92,6.9
10,-4.76,-112.01,5.9
3,17.76,-101.3,6.3
37,1.27,97.63,6
138,-56.81,-26.93,6
34,25.12,-109.55,5.8
11,41.33,-125.66,5.8
49,-35.21,-179.32,6.2
592,-27.96,-62.82,6
24,-25.87,-175.37,6.4
51,36.43,140.98,6
33,53.26,-161.74,6.1
82,-25.85,-177.29,6.2
18,32.49,104.18,6.2
119,-22,170.91,6.3
0,49.92,78.8,6.2
154,1.9,128.2,5.9
29,9.5,126.6,5.8
48,38.23,142.02,6.7
26,15.05,-94.28,6
24,-1.18,136.59,5.9
20,-16.66,-172.01,5.8
647,-17.74,-178.05,5.8
33,-32.67,-178.21,5.8
55,-23.74,-70.23,5.8
52,27.94,140.61,5.8
7,-41.13,-74.99,6.1
39,18.75,120.86,6.2
72,-2.7,139.01,5.8
165,40.32,140.38,6
49,38.41,142.18,5.8
52,37.77,141.77,6
23,0.91,-26.71,6.2
114,15.54,-92.65,5.8
18,-15.37,-173.03,6
36,-14.45,166.87,6.3
24,51.31,177.91,5.8
10,-31.6,-110.85,5.8
511,-7.17,125.81,6.1
1,22.7,122.61,5.8
165,-21.59,170.56,6
41,43.12,145.74,6.5
41,39.81,77.22,5.8
31,-20.46,-173.89,5.8
111,38.33,73.17,5.9
25,-5.75,104.18,5.9
51,54.25,-162.51,5.8
29,54.15,168.69,5.9
18,-8.4,154.03,6.2
54,-19.09,168.71,5.8
23,-6.26,151.86,5.8
54,44.66,148.92,5.8
5,17.61,-61.26,5.9
94,-56.46,-27.05,5.8
38,-14.52,167.93,5.9
16,45.2,93.86,5.9
112,-3.88,-78.47,5.8
21,1.26,126.23,6.1
0,-58.07,-10.68,5.8
27,46.41,141.16,5.8
108,17.04,-94.61,6.2
31,39.47,142.89,6
39,56.04,163.17,6.2
33,-11.16,118.41,6.8
14,-31.4,-110.84,5.9
6,38.43,119.47,5.9
601,18.49,145.39,6.1
7,-8.27,121.38,5.8
10,-52.89,-46.98,5.8
10,-51.88,161.08,5.8
10,-18.85,67.33,6.1
35,-28.78,-71.19,5.9
399,47.44,146.73,5.9
46,-21.95,170.09,5.8
45,38.38,22.26,6.3
232,-17.07,168.56,6
24,31.61,100.26,6.1
47,-7.48,156.2,5.8
0,49.88,78.81,5.9
33,-24.2,-175.1,6
52,41.8,142.77,5.8
214,-22.53,-66.19,6
67,-24.93,-68.68,6
38,38.61,142.91,5.9
57,-2.89,139.38,5.8
21,-25.88,-175.9,6.3
39,35.06,24.31,5.9
0,34.14,59.92,5.9
0,73.35,54.38,5.8
21,43.76,147.45,6.1
44,35.85,141.1,5.8
92,17.89,-68.61,5.9
54,-28.65,-177.38,5.9
503,28.04,139.67,5.8
10,-46.01,165.16,5.8
40,-8.32,115.92,6
41,16.8,147.17,5.8
7,50.13,-179.59,6
99,-8.7,124,5.8
64,1,126.02,5.8
28,-29.89,-71.4,6.1
45,53.61,160.49,5.9
37,4.69,124.61,5.8
33,-5.51,-77.3,5.8
49,-14.92,-172.88,6
42,-29.64,-176.76,5.9
59,-11.39,116.68,6.6
54,-56.17,-27.66,6
6,-30.73,117.21,5.9
373,-6.44,127.96,5.8
43,25.73,128.5,6.5
19,-59.38,-26.12,6
36,-9.84,-75.55,5.8
0,19.5,-60,5.8
15,71.49,-10.36,6
53,18.82,-103.95,5.9
49,36.45,141.05,5.8
12,46.35,13.26,5.9
48,49.23,155.56,5.9
140,-15.44,167.48,5.8
0,7.55,-77.5,5.8
595,-7.08,124.28,5.8
41,61.62,-147.39,5.8
115,-33.49,-179.4,5.9
33,-15.78,-173.01,5.9
55,5.04,126.63,5.8
6,42.8,13.04,5.8
38,-15.81,167.24,5.8
36,45.53,150.93,5.8
22,51.26,-178.95,6
27,-18.27,167.99,5.8
53,-13.09,166.34,5.9
36,-0.47,-19.93,6
2,-45.6,96.19,5.8
10,1.16,94.2,6.2
172,18.34,-68.86,5.9
8,6.37,-77.48,6
73,-2.98,139.34,6.2
17,7.73,137.02,5.8
31,22.68,-45.11,5.9
34,23.05,122.14,6
177,-17.15,-174.07,6
71,-8.03,158.94,6.2
54,33.45,141,5.8
21,41.41,20.44,5.9
72,6,126.13,6
37,-20.54,-174,5.8
0,49.88,78.96,5.9
62,50.78,157.19,6
53,-19.16,168.69,5.8
32,4.72,127.65,5.8
39,-15.33,-173.48,5.8
20,-14.13,166.56,6.1
278,26.45,140.76,6
114,-8.16,-76.12,5.9
88,-9.19,114.26,6
0,49.77,78.08,5.9
30,24.29,142.7,5.8
0,71.42,-10.39,5.9
59,-5.41,151.57,6
20,8.43,127.23,5.8
42,-16.52,-72.6,6.2
53,10.11,92.93,5.9
33,-8.79,124.98,6.3
0,-37.62,179.46,5.8
75,18.02,-69.03,6
10,-29.68,60.83,6
