@relation quake
@attribute Focal_depth integer [0,656]
@attribute Latitude real [-66.49,78.15]
@attribute Longitude real [-179.96,180]
@attribute Richter real [5.8,6.9]
@inputs Focal_depth, Latitude, Longitude
@outputs Richter
@data
49,43.47,146.59,6.3
54,-6.23,154.45,6.2
146,4.7,-75.67,6.1
19,-44.58,167.64,5.8
56,43.28,145.81,5.9
7,39.4,24.94,6
33,-54.97,146.25,5.8
15,50.72,160.4,5.9
19,43.14,146.89,5.8
64,-11.78,166.31,6.1
107,13.84,145.38,5.8
58,-4.34,153.12,5.8
537,-5.76,111.29,5.8
20,-26.02,84.3,6.1
107,-5.6,154.29,6
21,43.53,147.04,6.6
127,-19.38,169.13,6.1
50,33.38,140.97,6.5
37,36.36,141.63,6.2
32,38.24,23.26,5.8
40,51.47,-176.81,5.8
49,-19.89,169.08,6.1
10,-16.47,-172.17,5.8
33,-56.46,-142.61,5.8
27,-8.07,-80.09,5.9
0,0.99,-28.3,6
0,50.03,79.02,5.8
0,73.4,54.42,5.9
25,-33.89,179.52,5.8
40,-32.51,-71.21,6.5
41,-10.42,162.42,5.9
75,39.78,141.91,5.8
402,47.31,145.75,5.8
97,0.75,122.61,6
0,73.41,54.93,6.4
45,19.11,121.19,5.8
55,-15.43,-173.3,6
0,55.18,163.57,5.8
59,-4.89,153.34,5.8
4,19.5,-155.44,6.3
114,-22.29,171.65,6.3
115,-10.45,161.34,5.9
0,49.87,78.9,6
35,38.28,142.71,6
101,-6.39,130.72,5.8
111,36.45,31.72,5.8
14,-15.47,166.91,5.9
24,37.2,142.09,5.8
8,43.46,147.91,5.8
43,0.55,126.24,5.9
135,49.05,153.6,6.2
16,52.37,174.33,5.9
64,8.52,126.41,6.1
17,-8.98,157.91,5.8
23,-15.16,-173.64,5.9
7,36.24,-120.27,6.1
180,-24.05,-66.84,5.9
109,-7.73,127.77,5.8
30,-20.57,-173.84,5.9
475,28.27,139.55,5.8
184,-0.96,101.39,6.2
79,-56.03,-27.57,5.8
42,-1.52,-15.37,6
12,20,147.27,5.8
40,15.78,121.71,6.5
50,44.56,149.58,6
38,51.41,-177.21,6
30,38.18,142.87,5.8
5,41.15,-124.3,5.9
113,-10.25,161.11,6
10,62.22,-124.27,6.4
10,60.51,-146.7,6
33,-6.61,71.41,5.8
76,-12.3,166.5,5.9
429,30.71,138.44,6.1
24,48.22,102.9,6.1
320,21.57,143.1,5.9
49,-57.44,-25.77,5.8
63,-10.92,162.16,5.9
23,7.03,-104.24,6.1
135,-15.88,-174.35,5.9
35,59.79,-148.67,6.2
43,-13.98,166.19,6.2
41,-21.61,169.66,5.8
56,53.38,160.3,5.8
12,-20.45,-173.96,6.1
64,-30.01,-176.85,6
90,-12.1,166.52,6
38,45.53,151.11,5.8
21,48.08,103.02,6.3
555,-24.66,-63.39,5.9
48,-4.86,153.32,5.8
46,33.15,141.06,6
33,-16.22,-172.47,6.3
17,54.84,166,6
53,43.99,148.91,5.9
46,55.07,165.4,5.8
9,15.93,-88.52,5.9
11,42.65,146.08,6
424,-19.5,-177.7,6
45,-7.89,156.24,5.8
33,-11.1,119.09,5.9
328,-5.74,128.63,6.1
31,8.14,-38.12,5.8
10,-39.71,-75.7,6
11,29.99,57.77,5.9
4,1.02,120.4,5.9
42,-24.39,-176.65,6
33,52.78,-167.8,6
30,35.68,73.6,6.1
34,-10.43,160.89,6
21,18.93,120.13,5.8
537,-4.94,125.25,5.8
12,-2.09,138.96,5.9
21,31,-41.53,5.9
0,12.98,125.74,6.2
39,31.08,131.43,6.1
44,1.42,126.36,6
33,-31.02,-67.51,6
88,-2.79,-77.35,6.4
74,-4.42,102.32,6.3
196,36.5,70.58,5.8
38,58.35,-153.13,6.4
30,-21.66,169.81,6
40,-15.61,168.01,5.8
47,-22.91,-175.3,5.8
32,49.29,155.49,6.1
128,-7.02,-76.19,5.8
24,41.95,83.38,5.8
103,-18.65,-69.38,6
106,-7.54,128.76,6.1
117,22.33,143.59,6
10,39.22,25.25,6
203,-14.33,167.29,6.1
66,-7.12,155.87,5.9
89,-38.27,177.22,5.8
76,-4.6,153.22,6
40,32.24,132.21,5.9
30,5.22,-100.32,5.9
43,51.27,-179.21,6
31,8.2,58.49,5.9
30,39.17,143.4,5.8
29,23.6,121.55,6.1
21,-10.93,163.8,5.9
21,-7.47,154.68,5.9
47,23.17,122,6.5
3,24.51,98.95,5.9
32,-10.57,164.46,6.2
97,-29,-69.69,6
88,-4.45,143.53,6.3
51,-32.16,-71.4,6
57,34.5,140.42,5.9
161,52.59,-175.04,6
21,-3.38,143.29,6.2
36,-1.96,-80.99,5.8
30,-19.86,-173.04,5.9
54,-11.21,118.43,5.8
